species,province,count,lat,lon,date,doy
Egretta garzetta,Shanghai,9,31.1478,121.4389,1/18/2018,17
Anser albifrons,Jiangxi,,29.16198,115.932198,1/21/2018,20
Tringa glareola,Jiangsu,20,32.581667,121.006667,4/23/2016,113
Gallinago gallinago,Jiangxi,1,29.166667,115.95,1/12/2018,11
Hydrophasianus chirurgus,Jiangsu,,32.009849,118.642391,6/6/2015,156
Chroicocephalus ridibundus,Jiangsu,,32.581667,121.006667,8/31/2018,242
Calidris alpina,Shanghai,10,30.920507,121.973159,10/11/2017,283
Ardea alba,Jiangsu,8,32.75,120.96,9/24/2018,266
Mergus merganser,Jiangxi,2,29.173488,115.981259,12/29/2018,362
Chroicocephalus ridibundus,Guangdong,300,20.759,110.395,12/2/2018,335
Tachybaptus ruficollis,Guangdong,1,21.807719,112.449403,12/11/2011,344
Recurvirostra avosetta,Guangdong,60,22.522418,114.00032,12/17/2016,351
Egretta garzetta,Shanghai,,31.49514,121.964722,10/4/2018,276
Charadrius leschenaultii,Jiangsu,8,32.581667,121.006667,9/24/2015,266
Gallinago gallinago,Shanghai,1,30.920507,121.973159,10/24/2016,297
Phalacrocorax carbo,Guangdong,30,22.518764,114.026489,1/8/2017,7
Ardeola bacchus,Guangdong,14,20.718176,110.328216,10/17/2017,289
Calidris tenuirostris,Jiangsu,425,32.581667,121.006667,8/30/2015,241
Anas platyrhynchos,Shanghai,5,30.920507,121.973159,12/25/2016,359
Egretta garzetta,Shanghai,50,31.49514,121.964722,10/16/2016,289
Tringa erythropus,Shanghai,1,31.50919,121.955346,4/8/2017,97
Ardeola bacchus,Guangdong,3,22.45799,113.551847,12/16/2018,349
Gallinula chloropus,Shanghai,30,30.920507,121.973159,10/17/2018,289
Platalea leucorodia,Jiangxi,100,29.14292,115.97905,11/15/2016,319
Gelochelidon nilotica,Guangdong,27,20.835952,110.332861,10/17/2017,289
Spatula querquedula,Guangdong,6,20.287283,109.961774,10/19/2017,291
Aythya fuligula,Shanghai,170,30.920507,121.973159,12/6/2015,339
Egretta garzetta,Shanghai,7,30.920507,121.973159,8/21/2017,232
Gallinula chloropus,Zhejiang,9,30.346195,120.74967,10/11/2011,283
Ardeola bacchus,Guangdong,4,22.456877,113.546289,12/15/2018,348
Gallinago gallinago,Jiangsu,1,32.581667,121.006667,9/15/2016,258
